country,iso3c,region,income_group,lending_category,other
Afghanistan,AFG,South Asia,Low income,IDA,HIPC
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,NA
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD,NA
American Samoa,ASM,East Asia & Pacific,Upper middle income,NA,NA
Andorra,AND,Europe & Central Asia,High income,NA,NA
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,NA
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,NA
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,NA
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,NA
Aruba,ABW,Latin America & Caribbean,High income,NA,NA
Australia,AUS,East Asia & Pacific,High income,NA,NA
Austria,AUT,Europe & Central Asia,High income,NA,EMU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,NA
"Bahamas, The",BHS,Latin America & Caribbean,High income,NA,NA
Bahrain,BHR,Middle East & North Africa,High income,NA,NA
Bangladesh,BGD,South Asia,Lower middle income,IDA,NA
Barbados,BRB,Latin America & Caribbean,High income,NA,NA
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,NA
Belgium,BEL,Europe & Central Asia,High income,NA,EMU
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD,NA
Benin,BEN,Sub-Saharan Africa,Low income,IDA,HIPC
Bermuda,BMU,North America,High income,NA,NA
Bhutan,BTN,South Asia,Lower middle income,IDA,NA
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,HIPC
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,NA
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,NA
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,NA
British Virgin Islands,VGB,Latin America & Caribbean,High income,NA,NA
Brunei Darussalam,BRN,East Asia & Pacific,High income,NA,NA
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,NA
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,HIPC
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,HIPC
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,NA
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA,NA
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Canada,CAN,North America,High income,NA,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,NA,NA
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,HIPC
Chad,TCD,Sub-Saharan Africa,Low income,IDA,HIPC
Channel Islands,CHI,Europe & Central Asia,High income,NA,NA
Chile,CHL,Latin America & Caribbean,High income,IBRD,NA
China,CHN,East Asia & Pacific,Upper middle income,IBRD,NA
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,NA
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA,HIPC
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA,HIPC
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,NA
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Croatia,HRV,Europe & Central Asia,High income,IBRD,NA
Cuba,CUB,Latin America & Caribbean,Upper middle income,NA,NA
Curaçao,CUW,Latin America & Caribbean,High income,NA,NA
Cyprus,CYP,Europe & Central Asia,High income,NA,EMU
Czech Republic,CZE,Europe & Central Asia,High income,NA,NA
Denmark,DNK,Europe & Central Asia,High income,NA,NA
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,NA
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,NA
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,NA
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,NA
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,IBRD,NA
El Salvador,SLV,Latin America & Caribbean,Lower middle income,IBRD,NA
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,NA
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,HIPC
