country,iso3c,year,gni_per_capita,gni_per_capita_latest_year,gni_per_capita_decile,gni_per_capita_percentile
Afghanistan,AFG,2017,550,2018,1,4.433497536945813
Albania,ALB,2017,4290,2018,5,42.857142857142854
Algeria,DZA,2017,3920,2017,4,38.91625615763547
Angola,AGO,2017,3560,2018,4,35.960591133004925
Antigua and Barbuda,ATG,2017,14440,2018,8,70.44334975369459
Argentina,ARG,2017,13120,2018,7,67.98029556650246
Armenia,ARM,2017,3950,2018,4,39.40886699507389
Aruba,ABW,2017,23630,2017,8,80.29556650246306
Australia,AUS,2017,51600,2018,10,92.61083743842364
Austria,AUT,2017,45120,2018,10,90.64039408866995
Azerbaijan,AZE,2017,4070,2018,5,41.87192118226601
"Bahamas, The",BHS,2017,29930,2018,9,83.74384236453201
Bahrain,BHR,2017,21180,2018,8,79.3103448275862
Bangladesh,BGD,2017,1520,2018,3,21.182266009852217
Barbados,BRB,2017,15000,2018,8,72.41379310344827
Belarus,BLR,2017,5300,2018,5,48.275862068965516
Belgium,BEL,2017,42720,2018,9,88.66995073891626
Belize,BLZ,2017,4290,2018,5,42.857142857142854
Benin,BEN,2017,800,2018,2,10.83743842364532
Bermuda,BMU,2013,106140,2013,10,99.50738916256158
Bhutan,BTN,2017,2800,2018,3,29.55665024630542
Bolivia,BOL,2017,3090,2018,4,33.004926108374384
Bosnia and Herzegovina,BIH,2017,5110,2018,5,47.29064039408867
Botswana,BWA,2017,7020,2018,6,55.172413793103445
Brazil,BRA,2017,8670,2018,7,60.591133004926114
Brunei Darussalam,BRN,2017,29800,2018,9,83.2512315270936
Bulgaria,BGR,2017,7860,2018,6,58.620689655172406
Burkina Faso,BFA,2017,590,2018,1,4.926108374384237
Burundi,BDI,2017,280,2018,1,0.49261083743842365
Cabo Verde,CPV,2017,3080,2018,4,32.51231527093596
Cambodia,KHM,2017,1240,2018,2,15.270935960591133
Cameroon,CMR,2017,1340,2018,2,17.733990147783253
Canada,CAN,2017,42960,2018,9,89.16256157635468
Cayman Islands,CYM,2017,47140,2017,10,92.11822660098522
Central African Republic,CAF,2017,440,2018,1,1.9704433497536946
Chad,TCD,2017,640,2018,1,6.896551724137931
Channel Islands,CHI,2007,66230,2007,10,96.55172413793103
Chile,CHL,2017,13290,2018,7,68.96551724137932
China,CHN,2017,8650,2018,6,60.09852216748769
Colombia,COL,2017,5930,2018,6,52.21674876847291
Comoros,COM,2017,1280,2018,2,16.25615763546798
"Congo, Dem. Rep.",COD,2017,460,2018,1,2.4630541871921183
"Congo, Rep.",COG,2017,1480,2018,2,19.704433497536947
Costa Rica,CRI,2017,11090,2018,7,65.51724137931035
Côte d'Ivoire,CIV,2017,1480,2018,3,19.704433497536947
Croatia,HRV,2017,12640,2018,7,66.00985221674877
Cuba,CUB,2016,7480,2016,6,57.14285714285714
Curaçao,CUW,2017,19070,2017,8,77.33990147783251
Cyprus,CYP,2017,24580,2018,9,81.2807881773399
Czech Republic,CZE,2017,17970,2018,8,75.86206896551724
Denmark,DNK,2017,56340,2018,10,94.58128078817734
Djibouti,DJI,2017,3000,2018,4,31.03448275862069
Dominica,DMA,2017,7790,2018,6,58.128078817733986
Dominican Republic,DOM,2017,7090,2018,6,56.15763546798029
Ecuador,ECU,2017,5860,2018,6,51.724137931034484
"Egypt, Arab Rep.",EGY,2017,3040,2018,4,31.527093596059114
El Salvador,SLV,2017,3600,2018,4,36.94581280788177
Equatorial Guinea,GNQ,2017,7080,2018,6,55.66502463054187
Eritrea,ERI,2011,720,2011,1,8.374384236453201
Estonia,EST,2017,18690,2018,8,76.84729064039408
Eswatini,SWZ,2017,3590,2018,4,36.45320197044335
Ethiopia,ETH,2017,740,2018,1,9.35960591133005
Fiji,FJI,2017,5480,2018,6,50.73891625615764
Finland,FIN,2017,44680,2018,9,90.14778325123153
France,FRA,2017,38330,2018,9,86.20689655172413
French Polynesia,PYF,2000,15760,2000,8,73.39901477832512
Gabon,GAB,2017,6500,2018,6,54.187192118226605
"Gambia, The",GMB,2017,660,2018,1,7.389162561576355
Georgia,GEO,2017,4030,2018,5,40.39408866995074
Germany,DEU,2017,43640,2018,9,89.65517241379311
Ghana,GHA,2017,1900,2018,3,24.137931034482758
Greece,GRC,2017,18340,2018,8,76.35467980295566
Greenland,GRL,2007,34800,2007,9,85.22167487684729
Grenada,GRD,2017,8900,2018,7,61.083743842364534
Guatemala,GTM,2017,4060,2018,5,40.88669950738916
Guinea,GIN,2017,820,2018,2,11.330049261083744
Guinea-Bissau,GNB,2017,680,2018,1,7.8817733990147785
Guyana,GUY,2017,4340,2018,5,43.84236453201971
Haiti,HTI,2017,760,2018,1,9.852216748768473
Honduras,HND,2017,2220,2018,3,26.108374384236456
"Hong Kong SAR, China",HKG,2017,46420,2018,10,91.13300492610837
Hungary,HUN,2017,13080,2018,7,66.99507389162561
Iceland,ISL,2017,60740,2018,10,96.05911330049261
India,IND,2017,1830,2018,3,23.15270935960591
Indonesia,IDN,2017,3530,2018,4,35.467980295566505
"Iran, Islamic Rep.",IRN,2017,5470,2017,6,50.24630541871922
Iraq,IRQ,2017,4860,2018,5,46.30541871921182
Ireland,IRL,2017,53050,2018,10,93.59605911330048
Isle of Man,IMN,2017,75340,2017,10,98.0295566502463
Israel,ISR,2017,37420,2018,9,85.71428571428571
Italy,ITA,2017,31340,2018,9,84.23645320197043
Jamaica,JAM,2017,4740,2018,5,44.827586206896555
Japan,JPN,2017,38470,2018,9,86.69950738916256
Jordan,JOR,2017,4020,2018,4,39.90147783251231
Kazakhstan,KAZ,2017,8040,2018,6,59.11330049261084
Kenya,KEN,2017,1440,2018,2,18.7192118226601
Kiribati,KIR,2017,3070,2018,4,32.01970443349754
"Korea, Rep.",KOR,2017,28380,2018,9,82.75862068965517
Kosovo,XKX,2017,3870,2018,4,37.93103448275862
Kuwait,KWT,2017,31660,2018,9,84.72906403940887
Kyrgyz Republic,KGZ,2017,1110,2018,2,13.30049261083744
Lao PDR,LAO,2017,2240,2018,3,26.60098522167488
Latvia,LVA,2017,14710,2018,8,71.42857142857143
Lebanon,LBN,2017,7500,2018,6,57.635467980295566
Lesotho,LSO,2017,1250,2018,2,15.763546798029557
Liberia,LBR,2017,620,2018,1,5.911330049261084
Libya,LBY,2017,5410,2018,5,49.26108374384236
Liechtenstein,LIE,2009,116430,2009,10,100
Lithuania,LTU,2017,15240,2018,8,72.9064039408867
Luxembourg,LUX,2017,66380,2018,10,97.04433497536947
"Macao SAR, China",MAC,2017,72690,2018,10,97.53694581280789
Madagascar,MDG,2017,470,2018,1,2.955665024630542
Malawi,MWI,2017,340,2018,1,0.9852216748768473
Malaysia,MYS,2017,9940,2018,7,63.05418719211823
Maldives,MDV,2017,8510,2018,6,59.60591133004927
Mali,MLI,2017,770,2018,2,10.344827586206897
Malta,MLT,2017,23840,2018,9,80.78817733990148
Marshall Islands,MHL,2017,4460,2018,5,44.33497536945813
Mauritania,MRT,2017,1110,2018,2,13.30049261083744
Mauritius,MUS,2017,11000,2018,7,65.02463054187191
Mexico,MEX,2017,8930,2018,7,61.57635467980296
"Micronesia, Fed. Sts.",FSM,2017,3450,2018,4,33.99014778325123
Moldova,MDA,2017,2590,2018,3,29.064039408866993
Mongolia,MNG,2017,3230,2018,4,33.497536945812804
Montenegro,MNE,2017,7400,2018,6,56.65024630541872
Morocco,MAR,2017,2880,2018,3,30.049261083743843
Mozambique,MOZ,2017,470,2018,1,2.955665024630542
Myanmar,MMR,2017,1200,2018,2,14.77832512315271
Namibia,NAM,2017,4800,2018,5,45.320197044334975
Nauru,NRU,2017,10820,2018,7,64.03940886699507
Nepal,NPL,2017,860,2018,2,11.822660098522167
Netherlands,NLD,2017,47110,2018,10,91.62561576354679
New Caledonia,NCL,2000,14020,2000,7,69.45812807881774
New Zealand,NZL,2017,38470,2018,9,86.69950738916256
Nicaragua,NIC,2017,2090,2018,3,24.63054187192118
Niger,NER,2017,360,2018,1,1.477832512315271
Nigeria,NGA,2017,2100,2018,3,25.12315270935961
North Macedonia,MKD,2017,4890,2018,5,46.79802955665024
Norway,NOR,2017,76210,2018,10,98.52216748768473
